DOI,type_of_synthesis,precursor_1,precursor_2,precursor_3,reagent,precursor_1_g,precursor_2_g,precursor_3_g,reagent_mL,power_W,temperature_°C,time_h,Abs_red_max_nm,Exc_red_max_nm,FL_red_max_nm,QY_red_%,molar_concentration_precursor_1,molar_concentration_precursor_2,molar_concentration_precursor_3
10.1002/smll.201905050,ST,CA,urea,,DMF,2,4,,20,,160,6,720,732,770,11,0.520833333,3.333333333,
10.1038/s41377-018-0090-1,ST,CA,urea,,DMSO,2,6,,30,,160,4,650,655,720,0.2,0.347222222,3.333333333,
10.1002/adma.201603443,HT,Dopamine,o-phenylenediamine,,water,0.184,0.108,,10,,200,8,631,540,710,26.28,0.120261438,0.18,
10.1021/acsabm.1c00121,HT,o-phenylenediamine,urea,,H2SO4/water,0.2,0.13,,30,,210,8,570,580,650,20,0.061728395,0.072222222,
10.1007/s12274-017-1528-0,HT,Polythiophene,diphenyl diselenide,,NAOH/water,0.01,0.01,,15,,180,24,526,680,820,0.2,0.007936508,0.002136752,
10.1021/acsami.6b07453,ST,PEG800,2-((E)-2-((E)-2-chloro-3-((E)-2-(1-(2-hydroxyethyl)-3_3-dimethylindolin-2-ylidene) ethylidene)cyclohex-1-en-1-yl)vinyl)-1-(2-hydroxyethyl)-3_3-dimethyl-3H-indol-1-ium iodide CyOH,,ethanol,0.5,0.03,,15,,160,2,783,720,820,6,1.851851852,0.035714286,
10.1002/asia.201900416,MW,Pheophytin,,,DMF,0.02,,,30,500,150,0.5,664,671,680,,0.000765404,,
10.1021/acsnano.7b06399,ST,CA,urea,,formamide,1,1,,15,,180,12,530,550,630,4,0.347222222,1.111111111,
10.1021/acs.chemmater.6b03695,MW,CA,,,formamide,2.80,,,50,400,140,2,550,540,640,16.2,0.291666667,,
10.1016/j.ceramint.2019.05.299,HT,CA,urea,,DMF,1,0.5,,10,,180,10,550,460,654,,0.520833333,0.833333333,
10.1021/acs.langmuir.7b02385,ST,CA,ethylenediamine,,formamide,1.20,1.89,,80,,180,4,564,561,627,53.1,0.078125,0.39375,
10.1021/acs.langmuir.7b02385,ST,CA,ethylenediamine,,formamide,1.60,1.89,,80,,180,4,564,561,624,51.6,0.104166667,0.39375,
10.1021/acs.langmuir.7b02385,ST,CA,ethylenediamine,,formamide,0.8,1.89,,80,,180,4,564,561,630,37.4,0.052083333,0.39375,
10.1021/acs.langmuir.7b02385,ST,CA,ethylenediamine,,formamide,0.4,1.89,,80,,180,4,564,561,624,18.3,0.026041667,0.39375,
10.1039/D1NA00286D,ST,CA,urea,,DMF,1,2,,10,,160,6,600,680,691,,0.520833333,3.333333333,
10.1515/nanoph-2020-0233,ST,CA,urea,,DMF,1,2,,10,,160,4,580,594,654,22,0.520833333,3.333333333,
10.1002/advs.201903525,ST,CA,urea,,DEF,1,2,,10,,160,8,540,580,642,,0.520833333,3.333333333,
10.1002/adom.201700416,ST,CA,urea,,DMF,1,2,,10,,160,4,545,375,638,,0.520833333,3.333333333,
10.1002/smll.202000680,ST,CA,urea,NH4F,DMF,2,4,0.195,20,,180,4,715,710,777,9.8,0.520833333,3.333333333,0.263513514
10.1021/acsami.8b19042,ST,CA,PEI,,formamide,10,6.3,,200,,160,4,540,550,640,,0.260416667,0.525,
10.1016/j.jcis.2018.05.101,ST,CA,urea,,DMF,3,6,,30,,160,6,620,532,648,25,0.520833333,3.333333333,
10.1039/c7nr05363k,ST,ammonium citrate,,,DMF,0.3,,,10,,160,6,341,460,658,30.4,0.12345679,,
10.1021/acsnano.5b05406,ST,p-phenylenediamine,urea,,water,0.2,0.2,,50,,160,10,528,521,625,23.81,0.037037037,0.066666667,
10.1007/s12274-019-2293-z,ST,L-cystine,o-phenylenediamine,,ethanol,0.125,0.5,,20,,220,12,571,540,648,35.7,0.051652893,0.231481481,
10.1039/C8NJ04906H,ST,DTT,o-phenylenediamine,,CHCl3,0.05,0.4,,20,,160,12,560,570,648,23.26,0.016233766,0.185185185,
