DOI,type_of_synthesis,precursor_1,precursor_2,precursor_3,reagent,precursor_1_g,precursor_2_g,precursor_3_g,reagent_mL,power_W,temperature_°C,time_h,Abs_red_max_nm,Exc_red_max_nm,FL_red_max_nm,QY_red_%,molar_concentration_precursor_1,molar_concentration_precursor_2,molar_concentration_precursor_3
10.1021/acsabm.1c00121,HT,o-phenylenediamine,urea,,H2SO4/water,0.2,0.13,,30.0,,210.0,8.0,570.0,580.0,650,20.0,0.061728395,0.072222222,
10.1021/acsnano.7b06399,ST,CA,urea,,formamide,1.0,1.0,,15.0,,180.0,12.0,530.0,550.0,630,4.0,0.347222222,1.111111111,
10.1021/acs.chemmater.6b03695,MW,CA,,,formamide,2.8,,,50.0,400.0,140.0,2.0,550.0,540.0,640,16.2,0.291666667,,
10.1021/acs.langmuir.7b02385,ST,CA,ethylenediamine,,formamide,0.4,1.89,,80.0,,180.0,4.0,564.0,561.0,624,18.3,0.026041667,0.39375,
10.1515/nanoph-2020-0233,ST,CA,urea,,DMF,1.0,2.0,,10.0,,160.0,4.0,580.0,594.0,654,22.0,0.520833333,3.333333333,
10.1016/j.jcis.2018.05.101,ST,CA,urea,,DMF,3.0,6.0,,30.0,,160.0,6.0,620.0,532.0,648,25.0,0.520833333,3.333333333,
10.1021/acsnano.5b05406,ST,p-phenylenediamine,urea,,water,0.2,0.2,,50.0,,160.0,10.0,528.0,521.0,625,23.81,0.037037037,0.066666667,
10.1039/C8NJ04906H,ST,DTT,o-phenylenediamine,,CHCl3,0.05,0.4,,20.0,,160.0,12.0,560.0,570.0,648,23.26,0.016233766,0.185185185,
10.1038/ncomms5596,HT,Polythiophene,,,NAOH/water,0.03,,,40.0,,170.0,24.0,490.0,500.0,680,5.4,0.008928571,,
10.1002/adma.201705913,ST,CA,urea,,DMF,2.0,4.0,,20.0,,160.0,6.0,619.0,561.0,640,26.0,0.520833333,3.333333333,
10.1021/acsami.7b16991,HT,CA,neutral red,,water,1.5,0.0021,,5.0,,180.0,4.0,530.0,610.0,632,12.1,1.5625,0.001453287,
10.1002/smll.201901673,HT,p-phenylenediamine,o-phenylenediamine,dopamine,HCI/water,0.2,1.0,2.0,50.0,,200.0,16.0,560.0,573.0,640,25.0,0.037037037,0.185185185,0.261437908
10.1039/d0tc02597f,ST,CA,urea,,DMF,3.0,6.0,,30.0,,160.0,6.0,550.0,580.0,629,10.6,0.520833333,3.333333333,
10.1021/acsami.0c00283,HT,Alizarin carmine,,,water,0.01,,,10.0,,200.0,3.0,552.0,600.0,642,6.0,0.002777778,,
